username,MBTI,IE,NS,TF,JP,full_text
bismakarisma,ISFJ,I,S,F,J,lah
bismakarisma,ISFJ,I,S,F,J,uji coba yok
bismakarisma,ISFJ,I,S,F,J,ngeri antusiasku tidur gini semalem first time workshop lagu smash tahun akhirnya bahagia haru meledak duar
bismakarisma,ISFJ,I,S,F,J,aduh badut romantis selalu romantis luvvv jugaaa akhhhh
bismakarisma,ISFJ,I,S,F,J,lop yu sagi
bismakarisma,ISFJ,I,S,F,J,alahsiah hatur tengkyu mas semoga perjalanannya terus menemukan terangnya aamiin
bismakarisma,ISFJ,I,S,F,J,perihal sound live broadcast kakak perempuan memang rawan pisyan didenger kerasa beda nonton ditempat teknisnya bajsgwbkavsbwjwgwvwjwgwg alias kompleks nyuak
bismakarisma,ISFJ,I,S,F,J,sejauh pertanyaan kapan nikah terhitung baru suara
bismakarisma,ISFJ,I,S,F,J,rezeki mah kamaneh kakak meremmerem jawer hayam
bismakarisma,ISFJ,I,S,F,J,punten sayamah selalu mau akur mantan kalian
bismakarisma,ISFJ,I,S,F,J,makasi mama thr mama wkwk salam damai yah kan tua kalian kan heuheu mau kumpul onlen live tiktok jam an monggo mau join
bismakarisma,ISFJ,I,S,F,J,sahur
bismakarisma,ISFJ,I,S,F,J,masyaallah jaman perjuangan nungguin dijemput pulang jatinangor dulu sehatsehat sekeluarga kang
bismakarisma,ISFJ,I,S,F,J,teruntuk sedang sakit berjuang sembuh jiwa raganya semoga lekas sehat orang diluar sana mungkin lupa mensyukuri diberi kesehatan tahu berusaha menjalani hidup harinya
bismakarisma,ISFJ,I,S,F,J,aamiin allahuma aamiin mas alit sehat tentrem selalu yaaa
bismakarisma,ISFJ,I,S,F,J,astaghfirullah orang sakit strugle sehat raga batinnya dicurigai semoga siapapun kalian sehatsehat hidupnya aamiin
bismakarisma,ISFJ,I,S,F,J,menyala ceunah
bismakarisma,ISFJ,I,S,F,J,niat lumyan aktif disini dipolow bila
bismakarisma,ISFJ,I,S,F,J,nah kan pas gda kemarin ngebayangin semua penampil rasanya berlebihan dulu oksigen tabung
bismakarisma,ISFJ,I,S,F,J,datang hilang hilang datang gitu terus maot plis
bismakarisma,ISFJ,I,S,F,J,otak kubus kehujanan
bismakarisma,ISFJ,I,S,F,J,menyaksikan hidup dihancurkan sebuah malam raja
bismakarisma,ISFJ,I,S,F,J,nj penelusuranku girlgroup jatuh xg hatam semua prosesnya awal namanya belajar mana boleee
bismakarisma,ISFJ,I,S,F,J,dualas limaan lah dirukiahin
bismakarisma,ISFJ,I,S,F,J,wargi konohow
bismakarisma,ISFJ,I,S,F,J,aamiinkan bersamasama jikalau do baik tersematkan yegaaa
bismakarisma,ISFJ,I,S,F,J,alhamdulillah laris karpetnya semoga awet yah
bismakarisma,ISFJ,I,S,F,J,huahahahaha cuma mau jualan karpet doang do ain terbang yah aamiin
bismakarisma,ISFJ,I,S,F,J,ketek rekotek rekotek dipinggir kali tekowek tekowek
bismakarisma,ISFJ,I,S,F,J,ceunah kata mamah
bismakarisma,ISFJ,I,S,F,J,healah ramai capek akutu gais serba salah kepala barbie
bismakarisma,ISFJ,I,S,F,J,"on the way, sedang jalan tahun insyaallah kendala yaaa doakan"
bismakarisma,ISFJ,I,S,F,J,discover now saranku jangan dengerin sekali jawabannya disitu cobain heuheu
bismakarisma,ISFJ,I,S,F,J,capek berdiri jungkook ah siapa tahu ketemu sohee seminggueun
bismakarisma,ISFJ,I,S,F,J,si bondol
bismakarisma,ISFJ,I,S,F,J,pengen beli kmeal nj setelahnya upcycling gitu pengen punya bimbo
bismakarisma,ISFJ,I,S,F,J,yuk berkumpul disebelah biar gausa bicara dibelakang alias dman wkwk
bismakarisma,ISFJ,I,S,F,J,hidup keras lembek mah seblak rapael heu
bismakarisma,ISFJ,I,S,F,J,bunnies seneng malu
bismakarisma,ISFJ,I,S,F,J,maret siap nongkiwwww
bismakarisma,ISFJ,I,S,F,J,yasalam feeling biasa ngamen bagiin aer siapa tahu kalian butuh berjamjam berdiri teriakteriak mau minum naek tangga dulu sekali doang sekalian ganti baju andaikan kutahu lebih dulu huehhh
bismakarisma,ISFJ,I,S,F,J,meskipun sedang pertunjukan ku usahakan segera mohon petugas meresponnya urusannya maenmaen soalnya keselamatan hidup orang mentemen please concern bandel si memaksa padahal gakuat yagimana serba salah pengen perform maksimal heu
bismakarisma,ISFJ,I,S,F,J,silahkan disimpan gunakan butuh rekaman sos story maskun nuhun maskun mengingatkan kamikami
bismakarisma,ISFJ,I,S,F,J,keingetan maskun pernah share ig perihal sign sos disaat kalian nonton konser pingsansesakbutuh bantuan acara kemarin pelajaran kalian kuat melihat didekat kalian gakuat butuh bantuan silahkan tanda kamisecurity
bismakarisma,ISFJ,I,S,F,J,baru tahu ternyata bukan kelimpungan cari oksigen ditempat tersebut pingsan mungkin benar dugaanku sirkulasinya kurang dibuka maksimal pas gladi kerasa pengap sepengap
bismakarisma,ISFJ,I,S,F,J,oleholeh cari rezeki bismasih baikbaik untungnya heuheu nuhun sematkan do baiknya
bismakarisma,ISFJ,I,S,F,J,detik on stage ganti mic naisu lalu tuk cekson yak ear monitor terdengar maksimal detik udara nehi not eungap
bismakarisma,ISFJ,I,S,F,J,lalu kutanya suka beliau jawab waktu teteh jepang ngirim link lagunya saosin pas papah sakit berbulanbulan bisma masuk semes papah menangis kaya disemangatin lagu silahken tebak ajalah yah responku begimana
bismakarisma,ISFJ,I,S,F,J,tadi sore pas mau ambil makan bapak tetiba bilang papah suka da saosin sefruit kejutan baru bapak kutaktawu slama suka emo
bismakarisma,ISFJ,I,S,F,J,rehat sebentar media sosial beberapa kemarin heu
AndovidaLopez,ESFP,E,S,F,P,beli link
AndovidaLopez,ESFP,E,S,F,P,tradisi suap suapan segera ditiadakan polarisasi musikal
AndovidaLopez,ESFP,E,S,F,P,polarisasi musikal tayang
AndovidaLopez,ESFP,E,S,F,P,spot terburuk terbaik nonton polarisasi musikal graha bhakti budaya taman ismail marzuki oktober
AndovidaLopez,ESFP,E,S,F,P,october yuk yuk
AndovidaLopez,ESFP,E,S,F,P,polarisasi musikal leg beli tiket sini
AndovidaLopez,ESFP,E,S,F,P,sebel pilih polarisasi musikal leg semoga polarisasi musikal leg oktober graha bhakti budaya taman ismail marzuki pilih jalan benar jangan kelewatan polarisasi musikal leg
AndovidaLopez,ESFP,E,S,F,P,hahaha sebentar lagu lagu polarisasi musikal keluar spotify apple music
AndovidaLopez,ESFP,E,S,F,P,salah satu review polarisasi musikal leg jangan lewatkan kesempatan nonton polarisasi musikal leg link beli tiketnya
AndovidaLopez,ESFP,E,S,F,P,yuk nonton polarisasi musikal yuk beli tiketnya sekarang
AndovidaLopez,ESFP,E,S,F,P,polarisasi musikal
AndovidaLopez,ESFP,E,S,F,P,
AndovidaLopez,ESFP,E,S,F,P,beli tiket presale polarisasi musikal harga normal
AndovidaLopez,ESFP,E,S,F,P,halo sman bandung
AndovidaLopez,ESFP,E,S,F,P,ketemu
AndovidaLopez,ESFP,E,S,F,P,dovi jovi orang berbeda
AndovidaLopez,ESFP,E,S,F,P,ampun bang
AndovidaLopez,ESFP,E,S,F,P,lawan saudi arabia yuk piala dunia yuk
AndovidaLopez,ESFP,E,S,F,P,vs saudi arabia
AndovidaLopez,ESFP,E,S,F,P,list kim minus masuk akal
AndovidaLopez,ESFP,E,S,F,P,apakabs
AndovidaLopez,ESFP,E,S,F,P,balik twitter
AndovidaLopez,ESFP,E,S,F,P,siapa kalian tunggu part
AndovidaLopez,ESFP,E,S,F,P,bagian mana favorit kalian part youtubes got talent
AndovidaLopez,ESFP,E,S,F,P,
AndovidaLopez,ESFP,E,S,F,P,atas dukungannya semua donasi
AndovidaLopez,ESFP,E,S,F,P,skinnyindonesian bukan skinnyindonesia maaf typo
AndovidaLopez,ESFP,E,S,F,P,sedang livestreaming youtube skinnyindonesia sekarang yuk bantu memberi dukungan berupa donasi klik link id
AndovidaLopez,ESFP,E,S,F,P,selamat ulang tahun ulang tahun tanggal februari tahun sekali unik
AndovidaLopez,ESFP,E,S,F,P,trailer tayang timone
AndovidaLopez,ESFP,E,S,F,P,sangat bucin
AndovidaLopez,ESFP,E,S,F,P,bucin banget
AndovidaLopez,ESFP,E,S,F,P,film bucin tayang bioskop tanggal maret official trailer film bucin tayang youtube channel
AndovidaLopez,ESFP,E,S,F,P,selamat ulang tahun kakak penulis
AndovidaLopez,ESFP,E,S,F,P,tayang bioskop seluruh bulan maret tahun
